generation,fitness_mean,fitness_max,apples_mean,apples_max
58,4.233278725654155,20.49095530041718,3.0675981544872304,13.660636866944786
59,4.403663471042399,19.832884387633015,3.171549284661592,13.221922925088677
60,5.478957822329229,20.710445976483125,3.873730357463971,13.806963984322083
61,5.830751909604648,23.39701866232379,4.091999845546972,15.598012441549194
62,4.798308274776894,24.010585220082422,3.4502726380376334,16.00705681338828
63,5.930275070861327,21.36931444357742,4.166814148135265,14.246209629051613
64,5.260599508252788,25.60054618700467,3.7338537255846767,17.067030791336446
65,6.281006047207745,21.58906833162059,4.361585979140974,14.392712221080394
66,6.750487504082252,22.593523503602047,4.6947478770871545,15.062349002401364
67,5.749194842759312,22.24871878481314,4.030075150682143,14.832479189875427
68,5.905784319643035,22.46873084582715,4.139980027933408,14.979153897218099
69,6.264781652399528,21.589068331620606,4.38545450868176,14.392712221080403
70,6.473890954475061,22.46873084582714,4.5058936964859075,14.979153897218092
71,7.137924171950728,22.02877081032964,4.944976580754872,14.685847206886427
72,7.6926779358935855,22.980954848039133,5.302894297242663,15.320636565359422
73,7.453411930492795,22.908946041975614,5.147995622888552,15.27263069465041
74,8.066490848396988,23.569742181722592,5.562059121114332,15.713161454481728
75,8.126691170749487,22.68880669597837,5.59099456432183,15.125871130652248
76,7.029059996124103,22.917427803902555,4.88496130265401,15.278285202601703
77,8.332101702498912,24.504164471362557,5.7068679713068144,16.33610964757504
78,8.523031508420102,23.151815749430934,5.80931104838606,15.434543832953956
79,7.629674023295133,24.254138945744234,5.249161945558418,16.16942596382949
80,8.921861618171093,23.36819726194836,6.086649834164019,15.57879817463224
81,9.656329040986542,24.473354507454705,6.550819840327972,16.31556967163647
82,10.162337812339002,23.862805193600114,6.8946469079452495,15.90853679573341
83,9.778427809579318,24.94148388869932,6.6319241607027966,16.627655925799548
84,9.554459917252185,27.107088062768412,6.490140829979808,18.07139204184561
85,9.152841755173638,25.336433464023585,6.23400532201722,16.89095564268239
86,9.728070489355883,26.43958624447805,6.628417427635089,17.626390829652035
